 ,Label,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height
61,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0070-0950,400,8.553,2.497,3,15,940,60,20,20
62,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0070-0970,400,7.862,2.038,3,14,960,60,20,20
63,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0070-0990,400,8.043,2.056,3,14,980,60,20,20
64,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0070-1010,400,8.645,1.969,5,15,1000,60,20,20
65,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0070-1030,400,9.402,1.811,4,14,1020,60,20,20
66,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0070-1050,400,10.043,1.833,6,15,1040,60,20,20
67,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0070-1070,400,9.172,1.769,4,15,1060,60,20,20
68,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0070-1090,400,7.915,2.056,4,14,1080,60,20,20
69,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0070-1110,400,7.147,2.052,3,14,1100,60,20,20
70,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0070-1130,400,7.170,2.167,3,13,1120,60,20,20
71,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0070-1150,400,6.260,1.729,3,13,1140,60,20,20
72,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0070-1170,400,7.060,1.769,4,13,1160,60,20,20
73,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0070-1190,353,6.969,1.888,3,11,1180,60,20,20
74,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0070-1210,258,8.171,1.957,3,13,1200,61,20,19
75,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0076-1230,78,8.231,2.428,5,13,1220,72,20,8
76,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0078-1243,14,8.214,2.636,5,13,1240,77,6,3
77,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0098-0138,14,4.286,0.994,3,6,136,96,4,4
78,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0096-0150,119,5.420,1.576,3,9,140,93,20,7
79,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0095-0170,176,5.750,2.074,1,11,160,90,20,10
80,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0094-0190,229,5.991,1.732,3,11,180,88,20,12
81,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0094-0210,240,6.171,1.677,3,10,200,88,20,12
82,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0094-0230,227,5.626,1.527,2,10,220,88,20,12
83,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0094-0250,220,5.555,1.332,3,9,240,89,20,11
84,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0094-0270,220,5.577,1.981,1,11,260,89,20,11
85,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0094-0290,218,6.106,1.970,2,11,280,89,20,11
86,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0095-0310,200,5.830,1.900,2,11,300,90,20,10
87,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0095-0330,200,5.735,1.717,3,11,320,90,20,10
88,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0094-0350,227,6.189,2.075,2,11,340,88,20,12
89,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0093-0370,253,6.719,1.930,3,12,360,87,20,13
90,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0092-0390,287,5.585,2.220,1,13,380,85,20,15
91,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0092-0410,313,5.786,1.816,2,11,400,84,20,16
92,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0091-0430,346,5.913,1.780,2,12,420,82,20,18
93,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-0450,373,7.054,2.030,3,13,440,81,20,19
94,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-0470,399,6.293,1.979,3,14,460,80,20,20
95,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-0490,400,6.430,2.080,2,12,480,80,20,20
96,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-0510,400,6.215,2.039,3,13,500,80,20,20
97,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-0530,400,5.870,1.821,2,11,520,80,20,20
98,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-0550,400,6.657,2.222,2,12,540,80,20,20
99,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-0570,400,7.418,2.244,2,13,560,80,20,20
100,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-0590,400,7.065,2.124,2,13,580,80,20,20
101,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-0610,400,5.895,1.907,2,11,600,80,20,20
102,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-0630,400,7.008,2.177,3,14,620,80,20,20
103,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-0650,400,7.963,1.770,3,12,640,80,20,20
